FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1001294,Atascadero Main Street CFM,,,,,,Palma & Entrada,Atascadero,San Luis Obispo,California,93422,,,,,,,,,-120.669,35.4901,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001412,Nipomo Certified Farmers' Market,http://www.nipomofarmersmarket.com,,,,,1645 Trilogy Parkway,Nipomo,San Luis Obispo,California,93444,01/01/2015 to 12/31/2015,Sun: 11:30 AM-2:30 PM;,,,,,,,-120.552313,35.030541,,Y,Y,N,Y,N,-,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/19/2015 20:34
1001891,Morro Bay Thursday CFM,http://www.morrobay.org,,,,,"2650 Main St., Spencers Market",Morro Bay,San Luis Obispo,California,93442,,,,,,,,,-120.859,35.3904,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001892,Arroyo Grande Oak Park Plaza Farmers Market,,,,,,"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,California,93420,,,,,,,,,-120.552,35.1271,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001893,Arroyo Grande Spencers CFM,,,,,,1464 E. Grand Avenue,Arroyo Grande,San Luis Obispo,California,,,,,,,,,,-120.606,35.1221,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1002023,Spencer's Market - Morro Bay,http://www.slocountyfarmers.org,,,,,"Hwy. 1, North of Hwy. 41 Jtn.",Morro Bay,San Luis Obispo,California,93442,,,,,,,,,-120.859,35.3904,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1002953,Cayucos Farmers Market,,,,,,Vets Hall  Parking Lot,Cayucos,San Luis Obispo,California,93430,,,,,,,,,-120.912,35.4454,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003033,Country Farm & Craft Market Paso Park,http://www.countryfarmandcraftmarket.com,,,,,Spring & 11th Street,Paso Robles,San Luis Obispo,California,93446,January to December,Sat:9:00 am - 1:00 pm;,,,,,,,-120.691,35.6258,Local government building grounds,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/29/2011 14:47
1003034,Country Farm & Craft Market Paso Park,http://www.countryfarmandcraftmarket.com,,,,,Golden Hills Shopping Center (Lowe's),Paso Robles,San Luis Obispo,California,93446,May to September,Fri:4:00 pm - 7:00 pm;,,,,,,,-120.659,35.6447,Private business parking lot,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/29/2011 14:47
1003035,Country Farm & Craft Market Paso Park,http://www.countryfarmandcraftmarket.com,,,,,81 Wellsona Road,Paso Robles,San Luis Obispo,California,93446,May to September,Thu:3:00 pm - 6:00 pm;,,,,,,,-120.697,35.6958,Private business parking lot,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/29/2011 14:47
1003911,Atascadero Farmers Market,,,,,,Morro Road & El Camino Real,Paso Robles,San Luis Obispo,California,93447,,,,,,,,,-120.667,35.4882,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003912,Baywood/Los Osos Certified Farmers Market,http://www.northcountyfarmersmarkets.com,,,,,2nd Street & Santa Maria,Baywood ,San Luis Obispo,California,93412,,Mon: 2:00 PM-4:30 PM;,,,,,,,-120.840899,35.328154,Closed-off public street,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/27/2013 15:44
1004898,Cambria Farmers Market,,,,,,"Veterans Memorial Hall, Main & Cambria Streets",Cambria,San Luis Obispo,California,93428,,,,,,,,,-121.096,35.5644,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005826,Orcutt Farmers Market,,,,,,Bradley St. & Clark St.,Nipomo,San Luis Obispo,California,93444,,,,,,,,,-120.419,34.865,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1007257,San Miguel Farmers Market,,,,,,Mission & 10th,Paso Robles,San Luis Obispo,California,93446,,,,,,,,,-120.697,35.7477,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1007771,Templeton CFM,http://www.northcountyfarmersmarkets.com,,,,,6th St. & Crocker,Templeton,San Luis Obispo,California,93446,,,,,,,,,-120.707,35.5491,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 27 2010 10:01AM
1010902,San Luis Obispo Certified Farmers' Market ,http://www.sloccfm.com,https://www.facebook.com/sloccfm,@sloccfm,,Instagram @sloccfm,3889 Long Street,San Luis Obispo ,San Luis Obispo,California,93401,01/01/2015 to 12/31/2015,Sun: 10:00 AM-1:00 PM;,,,,,,,-120.67078,35.247382,,Y,N,N,N,N,-,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,3/10/2015 19:14
1000007,Santa Barbara La Cumbre Farmers Market,http://www.sbfarmersmarket.org,,,,,110 South Hope Avenue,Santa Barbara,Santa Barbara,California,93101,,,,,,,,,-119.747,34.4378,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005824,Santa Maria CFM,,,,,,Mervyns parking lot,Santa Maria,Santa Barbara,California,93444,,,,,,,,,-118.081,33.9039,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005825,Lompoc Farmers Market,,,,,,Ocean St. & I St.,Nipomo,Santa Barbara,California,93444,,,,,,,,,-120.459,34.6389,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1006690,Solvang CFM,http://www.sbfarmersmarket.org,,,,,Copenhagen Dr. & 1st St.,Solvang,Santa Barbara,California,93101,,,,,,,,,-120.14,34.595,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1006691,Santa Barbara Farmers Market,http://www.sbfarmersmarket.org,,,,,600 Santa Barbara St.,Santa Barbara,Santa Barbara,California,93103,January to December,Sat:8:30 am - 1:00 pm;,,,,,,,-119.695,34.4199,Private business parking lot,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/14/2012 16:29
1006692,Santa Barbara Farmers Market,http://www.sbfarmersmarket.org,,,,,600 State Street,Santa Barbara,Santa Barbara,California,93103,January to December,Tue:4:00 pm - 7:30 pm;,,,,,,,-119.697,34.4177,Closed-off public street,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/14/2012 16:29
1006693,Santa Barbara Farmers Market,http://www.sbfarmersmarket.org,,,,,7004 Marketplace Drive,Goleta,Santa Barbara,California,93105,January to December,sun:10:00 am - 2:00 pm;,,,,,,,-119.872,34.4293,Private business parking lot,N,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/14/2012 16:29
1006694,Harding Elementary School CFM,,,,,,1625 Robbins Street,Santa Barbara,Santa Barbara,California,,,,,,,,,,-119.722,34.4166,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1006696,Carpenteria CFM,,,,,,800 Block Linden Ave.,Carpenteria,Santa Barbara,California,,,,,,,,,,-119.52,34.3976,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1006697,Goleta FM,,,,,,5748 Calle Real Shopping Center,Goleta,Santa Barbara,California,,,,,,,,,,-119.825,34.4417,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1018299,Vandenberg Village Certified Farmers Market,http://www.villagegoesgreen.org,www.facebook.com/villagegoesgreen,,,,120 Burton Mesa Blvd,Vandenberg Village,Santa Barbara,California,93436,01/01/2017 to 12/31/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,-120.468728,34.699856,,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,6/21/2017 12:25
1002853,Port Huemene Farmers Market,,,,,,Walnut & Lyons,Port Huemene,Ventura,California,93041,,,,,,,,,-118.531,34.3809,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003038,Santa Paula CFM,,,,,,Hallock and Telegraph,Santa Paula,Ventura,California,93013,,,,,,,,,-119.106,34.3817,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003669,Ojai Certified Farmers Market,http://www.ojaicertifiedfarmersmarket.com,https://www.facebook.com/OjaiCertifiedFarmersMarket,,,,300 E Matilija St,Ojai,Ventura,California,93023,01/01/2014 to 12/31/2014,Sun: 9:00 AM-1:00 PM;,,,,,,,-119.244,34.4489,Private business parking lot,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,4/1/2014 11:33
1003831,Ventura Saturday Downtown CFM,http://www.vccfarmersmarkets.com,https://www.facebook.com/vccfm,,,,Santa Clara & Palm Streets,Ventura,Ventura,California,93001,01/01/2013 to 12/31/2013,Sat: 8:30 AM-12:00 PM;,,,,,,,-119.295915,34.279734,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/24/2013 17:10
1003833,Thousand Oaks Certified Farmers' Market,http://www.vccfarmersmarkets.com,https://www.facebook.com/vccfm,,,,230 W. Hillcrest Drive,Thousand Oaks,Ventura,California,91301,01/03/2013 to 11/14/2013,Thu: 1:30 PM-6:00 PM;,,,,,,,-118.88376,34.181413,Private business parking lot,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,4/4/2014 11:12
1003834,Santa Clarita Certified Farmers' Market,http://www.vccfarmersmarkets.com,https://www.facebook.com/vccfm,,,,26455 N. Rockwell Canyon Road,Santa Clarita,Ventura,California,91355,01/01/2013 to 12/31/2013,Sun: 8:30 AM-12:00 PM;,,,,,,,-119.050939,34.245836,Other,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,4/4/2014 11:08
1003835,Midtown Ventura Certified Farmers' Market,http://www.vccfarmersmarkets.com,https://www.facebook.com/vccfm,,,,3301 N. Main Street,Ventura,Ventura,California,93001,01/01/2013 to 12/31/2013,Wed: 9:00 AM-1:00 PM;,,,,,,,-119.050682,34.23639,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,4/4/2014 11:04
1009749,Pleasant Valley Certified Farmers' Market and Crafter's Corner ,http://www.vccfarmersmarket.com,https://www.facebook.com/vccfm,,,,1605 E. Burnley Street,Camarillo,Ventura,California,93012,05/21/2014 to 12/31/2014,Wed: 3:00 PM-7:00 PM;,,,,,,,-119.050671,34.22634,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,4/4/2014 14:41
1011811,Simi Valley City Hall Certified Farmers' Market,,https://www.facebook.com/simivalleycertifiedfarmersmarket/,,,,2757 Tapo Canyon rd,Simi Valley,Ventura,California,93093,01/01/2016 to 12/31/2016,Fri: 11:00 AM-3:30 PM;,01/01/2016 to 12/31/2016,Fri: 11:00 AM-3:30 PM;,,,,,-118.718091,34.285295,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,6/27/2016 14:48
1012777,Oxnard Farmers Market,http://www.OxnardFarmersMarket.com,www.facebook.com/OxnardFarmersMarket/,https://twitter.com/oxnfarmersmkt,www.youtube.com/DowntownOxnard,www.instagram.com/oxnardfarmersmarket/,Fifth and C Street,Oxnard,Ventura,California,93030,01/01/2016 to 12/31/2016,Thu: 9:00 AM-1:30 PM;,,,,,,,-119.180102,34.198012,,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,8/10/2016 16:44
1018257,Camarillo Hospice Certified Farmers Market,http://camarillofarmersmarket.com,,,,,2220 Ventura Blvd.,Camarillo ,Ventura,California,93010,01/01/2017 to 12/31/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-119.041311,34.216538,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,6/20/2017 20:53
